checkpoint,map50,map5095,ap50_hardhat,r_hardhat,p_hardhat,ap50_no-hardhat,r_no-hardhat,p_no-hardhat,ap50_vest,r_vest,p_vest,ap50_no-vest,r_no-vest,p_no-vest,ap50_person,r_person,p_person
ep5,0.7050570062466377,0.4087248216943862,0.8344216954377258,0.7781785392245266,0.8171537960257106,0.9310241299106172,0.9034507419989273,0.8808329875842887,0.6069244160784512,0.5428571428571428,0.6846216024671021,0.5117799165626328,0.35809018567639256,0.7834727147821474,0.641134873243762,0.6069364161849711,0.6423531059993942
ep10,0.7947235294191071,0.4819177303559066,0.8781949431753745,0.8358881875563571,0.8423776364920779,0.945510214702293,0.9138208474879314,0.8993919213628472,0.7251965164557455,0.653968253968254,0.7886137460908599,0.7013737557185803,0.5464190981432361,0.8055757534495279,0.7233422170435418,0.6639141205615194,0.7177317790036026
ep20,0.8772622499745818,0.5696486713678942,0.9108091998777463,0.8410496733310078,0.9066804993907353,0.9587871385849213,0.9226704131272342,0.9211887995046975,0.8610202343921959,0.7714285714285715,0.8868755406164165,0.8316726038282096,0.7277507794749174,0.889739729030697,0.824022073189836,0.7506193228736582,0.8080062963319191
ep50,0.9326969776316769,0.6433915868204241,0.9379291389568344,0.8710550045085663,0.932349741148511,0.965746193947449,0.9098873591989988,0.9473842893288464,0.9303612059783724,0.8539682539682539,0.9161143553411553,0.9381328054528485,0.8673740053050398,0.9381902641287008,0.89131554382288,0.8290668868703551,0.8859362833353005
best,0.9414218547647142,0.6664453271696543,0.9410457628441298,0.8698278982318658,0.9432839888724408,0.9680809276205011,0.9063685981708509,0.954796467354029,0.9391740401579984,0.8857142857142857,0.9406139055357239,0.9506852707628186,0.890060297664188,0.9384704951944883,0.908123272438123,0.8447563996696945,0.9011299047806206
