Model,Params,Val mAP50,Test mAP50,Test mAP50-95,Minority AP50,Inference (ms),FPS
YOLO11n,2.6M,90.5%,88.6%,57.6%,84.5%,5.7,141
YOLO11s,9.4M,94.1%,93.2%,63.9%,92.0%,11.4,77
