checkpoint,map50,map5095,ap50_hardhat,r_hardhat,p_hardhat,ap50_no-hardhat,r_no-hardhat,p_no-hardhat,ap50_vest,r_vest,p_vest,ap50_no-vest,r_no-vest,p_no-vest,ap50_person,r_person,p_person
ep5,0.6398365156220861,0.3648275057166221,0.7959228046801257,0.763751127141569,0.7679110593998166,0.9150195877295456,0.8860175510154651,0.8392039598554327,0.49697982805063484,0.48253968253968255,0.5527427538133134,0.43200652495314784,0.34748010610079577,0.648528357385064,0.5592538326969767,0.4962840627580512,0.6393669275586812
ep10,0.7269960627143064,0.4165991737842877,0.8169381122402938,0.8016404269785695,0.7888234766070544,0.9292638039754803,0.8988020740210978,0.8725847670629493,0.650858070768211,0.5687728998840109,0.7491249617818656,0.6004737674545667,0.4217506631299735,0.8172974983971548,0.6374465591329805,0.5136251032204789,0.7754744078546445
ep20,0.8150629699581818,0.5003173889635354,0.8782291178852065,0.8119804416945455,0.8789637027630213,0.9452238074055067,0.9053280886822814,0.9046469426981846,0.7739224065418007,0.6825396825396826,0.8222257814126676,0.7386069120983961,0.5994694960212201,0.8235505312877576,0.7393326058599995,0.6589595375722543,0.7684735646092442
ep50,0.8829416817826446,0.582996842735712,0.908135206795963,0.8358881875563571,0.9027369238191653,0.9550387087843487,0.8977293044877526,0.934072628908151,0.8529480046182069,0.7555555555555555,0.8605376046589517,0.8632964225637131,0.7506631299734748,0.8997287298419642,0.835290066150992,0.7477622130801321,0.8660978762619096
best,0.9053373084945902,0.6090616556851939,0.9174945919639385,0.842200180342651,0.9081365738711278,0.9578736467474858,0.8955023994135384,0.9406522050277707,0.8925055107646498,0.7936507936507936,0.9020528948959144,0.8959287861725783,0.8140476968063175,0.9191364253995747,0.8628840068242984,0.7696118909991743,0.8706377351036461
