epoch,map50,map5095,precision,recall,box_loss,cls_loss,dfl_loss,timestamp
1,0.6270975459670369,0.3168914654283171,0.6796933308584177,0.5799772218092436,0.0,0.0,0.0,2026-03-28T09:10:45.468670
2,0.6169320278748354,0.3331517633269789,0.6676678972906667,0.6010356802417945,1.79996,2.0069,1.72893,2026-03-28T09:25:45.450765
3,0.6163105437171625,0.32811347774780303,0.6681162711904214,0.5714563324216323,1.68398,1.66275,1.62289,2026-03-28T09:42:17.002080
4,0.6181675022812654,0.3343499747126828,0.6631934394411481,0.5888343979528633,1.70047,1.74139,1.65021,2026-03-28T09:57:17.032570
5,0.6899662725294223,0.38779448201650035,0.7196621331020492,0.6352894080052897,1.70679,1.74651,1.66716,2026-03-28T10:12:10.296773
6,0.7049952707720915,0.4083222593753344,0.7632223907978594,0.6378988574670459,1.6693,1.67687,1.65062,2026-03-28T10:27:05.100560
7,0.7122139406961987,0.41277927285756605,0.7543644300656689,0.6603030499611433,1.63892,1.60765,1.625,2026-03-28T10:42:27.805041
8,0.7611815633401176,0.4556468815680955,0.7766324245075447,0.6950298143568437,1.61887,1.55967,1.61096,2026-03-28T10:57:23.929551
9,0.7762166797839252,0.4630527514524319,0.8116417783744202,0.7023972180301639,1.59539,1.50608,1.5918,2026-03-28T11:12:18.329343
10,0.7943006845453766,0.47398371690319613,0.8312028557121488,0.7100264447681116,1.57747,1.45797,1.57575,2026-03-28T11:27:16.823883
11,0.7940890827870566,0.4819908117311146,0.8120365966208981,0.7230289784437646,1.57129,1.43799,1.56672,2026-03-28T11:42:12.397414
12,0.7861940523080625,0.47935236200530973,0.8044673604496151,0.733274786582595,1.55405,1.39598,1.54744,2026-03-28T11:57:06.803863
13,0.8168886035164938,0.5059927818607411,0.8543027287750302,0.7352606404197054,1.53852,1.37396,1.54206,2026-03-28T12:12:02.681713
14,0.8144180156838863,0.4957572369252691,0.83583306284764,0.7409052960949958,1.53164,1.34094,1.52774,2026-03-28T12:26:57.648309
15,0.8406279831875174,0.5150545451073998,0.8688891668117125,0.7445702317595739,1.52146,1.32276,1.51803,2026-03-28T12:41:52.779540
16,0.8441149039744353,0.5245541817291948,0.8703174180357067,0.7638102545739823,1.51089,1.31056,1.5109,2026-03-28T12:56:47.083206
17,0.8464259243042985,0.5335090100836646,0.8547131674609816,0.7774157751987765,1.50029,1.28332,1.50229,2026-03-28T13:11:41.387707
18,0.8495479940313219,0.5358534686343746,0.847501613980007,0.7819581914888614,1.49081,1.25509,1.49086,2026-03-28T13:26:35.817281
19,0.8636883948940779,0.5485970040025656,0.8852112009686108,0.7764282005132854,1.47778,1.24159,1.48131,2026-03-28T13:41:30.428484
20,0.8620003181191205,0.5535500494287721,0.8756309275890437,0.7870352048757506,1.47786,1.2187,1.47364,2026-03-28T13:56:25.854236
21,0.8774220440567575,0.5701789869473185,0.8816179154920782,0.8036758224358754,1.47603,1.20983,1.47169,2026-03-28T14:11:21.398176
22,0.8848395444503598,0.5716613111275076,0.8831811429167878,0.8086777122127478,1.46822,1.19554,1.4651,2026-03-28T14:26:15.707786
23,0.885090546780815,0.5777395605532034,0.8904648565382853,0.8059589039353929,1.45452,1.1855,1.46207,2026-03-28T14:41:12.169466
24,0.8809733962170275,0.5741284715287932,0.8918674705092776,0.7921559980877204,1.4534,1.17502,1.45592,2026-03-28T14:56:11.028606
25,0.8865323283012524,0.5828780952427224,0.890222524987822,0.8087617470642968,1.44352,1.1531,1.44435,2026-03-28T15:11:07.295321
26,0.8924399603280865,0.5867240807458135,0.884185651196342,0.820404282589353,1.44151,1.15569,1.44921,2026-03-28T15:26:02.055170
27,0.8980092110617436,0.5906694979843432,0.8976028662448929,0.8226618584016672,1.43535,1.13734,1.44463,2026-03-28T15:40:57.377994
28,0.8992967063944761,0.5977478362435877,0.8992902205191632,0.8216781738450329,1.42634,1.12151,1.4297,2026-03-28T15:55:52.617005
29,0.9042802390331219,0.602705139764514,0.8954134914686577,0.8385182447429411,1.42344,1.10362,1.42705,2026-03-28T16:10:46.023314
30,0.9055098853313763,0.6050524697414834,0.907509512342384,0.8212598599109487,1.41351,1.09843,1.42705,2026-03-28T16:25:39.254906
31,0.9076737536220275,0.6086908745526521,0.9069076104059623,0.8225118011626025,1.41187,1.09793,1.42398,2026-03-28T16:40:44.117480
32,0.9120396460018079,0.6114409076252951,0.8993494066033831,0.8421310595432201,1.40572,1.08666,1.41929,2026-03-28T16:55:38.917849
33,0.9120073326361823,0.6128761880348438,0.8967588573947307,0.8438936830271991,1.40425,1.0744,1.41113,2026-03-28T17:10:33.668689
34,0.9159487292827488,0.6166589713835708,0.9110549497327749,0.8383920918427386,1.40225,1.06574,1.40817,2026-03-28T17:25:27.969898
35,0.9190796110587078,0.61768032896343,0.9123376525507728,0.8463703335595459,1.39608,1.05758,1.40692,2026-03-28T17:40:21.626432
36,0.9173767411028019,0.6192706854133136,0.9016001146643138,0.8518333126865224,1.39256,1.04254,1.39661,2026-03-28T17:55:25.272140
37,0.9195752402249202,0.6253841611737979,0.9064211682747946,0.850393211742696,1.38634,1.04456,1.39889,2026-03-28T18:12:05.152820
38,0.9224677928774275,0.6241665797976857,0.9145623255476337,0.8515753846258644,1.38163,1.04126,1.3974,2026-03-28T18:28:23.910913
39,0.9212927463186957,0.6254149400322638,0.9139924967706285,0.8487904182115475,1.37796,1.02421,1.39158,2026-03-28T18:43:16.403980
40,0.921861523784336,0.6304210995912226,0.9164858227649523,0.8494091484005551,1.37044,1.01731,1.38737,2026-03-28T18:58:10.967480
41,0.9245538147926912,0.6305801531483898,0.9190097531844656,0.8500565318115603,1.37117,1.01627,1.38029,2026-03-28T19:13:06.061031
42,0.9265727689759391,0.6322662395229306,0.9160012083207562,0.8543767810224331,1.37088,1.00867,1.38271,2026-03-28T19:28:00.274462
43,0.9277687054332449,0.6362171275422853,0.9117850033024892,0.8619143419471129,1.36198,0.99559,1.37251,2026-03-28T19:42:54.890106
44,0.9272333058331265,0.6366108839445024,0.9191332678350708,0.859208570865453,1.35636,0.99421,1.37748,2026-03-28T19:57:48.686929
45,0.9286822618554931,0.6367248726993952,0.9180690953712529,0.8585775142847689,1.35808,0.98566,1.37412,2026-03-28T20:12:41.567954
46,0.9301434615758243,0.6380176740598533,0.9172761572449805,0.8644993270648194,1.35179,0.98867,1.3757,2026-03-28T20:27:36.070585
47,0.9316660127723109,0.6388803495225397,0.919677107776573,0.8612573024019202,1.34218,0.99131,1.37637,2026-03-28T20:42:31.384007
48,0.9321882533256736,0.6414497682781467,0.9124687840247805,0.8738904168679025,1.35111,0.97608,1.36294,2026-03-28T20:57:25.735998
49,0.9333156102074049,0.6440937798213549,0.9131398708423333,0.8788234200289466,1.34309,0.97211,1.36387,2026-03-28T21:12:18.500618
50,0.9329538034060303,0.6430744629181274,0.9230844475996742,0.8667766399531676,1.32756,0.95083,1.35472,2026-03-28T21:27:12.505159
51,0.9324038442219129,0.6433942459217447,0.9244274258584724,0.8668346326955266,1.33434,0.95918,1.35777,2026-03-28T21:42:07.428511
52,0.9326518897057934,0.6439205397994735,0.9267244473042224,0.8640995000097856,1.32901,0.93807,1.34859,2026-03-28T21:57:02.403730
53,0.932613283773916,0.6431706291494946,0.9258783851658056,0.8657281070176612,1.32624,0.93972,1.34785,2026-03-28T22:12:03.321637
54,0.9328889242887058,0.6457690570232353,0.9232400977555354,0.866638507933944,1.321,0.94054,1.34838,2026-03-28T22:26:59.548285
55,0.9338571803205415,0.6461889826512845,0.9251836703885283,0.8676209951890363,1.32215,0.93457,1.34517,2026-03-28T22:41:54.414465
56,0.9342724640131823,0.6476337590536871,0.9260495834256813,0.868585194693311,1.31696,0.92298,1.34078,2026-03-28T22:56:48.901650
57,0.9352931355173381,0.649453566508288,0.9283646094710567,0.869058601001362,1.31303,0.92494,1.34253,2026-03-28T23:11:44.872299
58,0.9350892662845343,0.6502058888360682,0.9281840040112513,0.8691898178984211,1.30655,0.90959,1.33696,2026-03-28T23:26:41.324741
59,0.9351957581640422,0.6506246031401273,0.9299542672656959,0.8677726908584542,1.30913,0.91442,1.3366,2026-03-28T23:41:37.026007
60,0.9349521007007795,0.6514675879084146,0.9271100255386558,0.8695579143557385,1.30966,0.90634,1.33206,2026-03-28T23:56:36.056358
61,0.935476298982962,0.6525360885193224,0.9218117024812059,0.8759864178642275,1.30194,0.90486,1.33129,2026-03-29T00:11:38.354541
62,0.9356596274772159,0.6531712359838999,0.9206565701911724,0.8758745792637012,1.29773,0.90027,1.32729,2026-03-29T00:26:32.979075
63,0.9354464831850848,0.6532507831323615,0.924734115366111,0.871183972623353,1.29691,0.89865,1.32601,2026-03-29T00:41:28.394719
64,0.9362096249956003,0.653507992732451,0.9284843621334193,0.8715075634904537,1.28996,0.88731,1.3194,2026-03-29T00:56:22.638832
65,0.936264466114926,0.6540756803677147,0.9276708596388155,0.871697690383695,1.28718,0.87895,1.31754,2026-03-29T02:11:17.449165
66,0.936506561909896,0.654182244543777,0.927727454929013,0.8717621559666766,1.28324,0.87546,1.31302,2026-03-29T02:26:12.675162
67,0.9369619064638167,0.6549585749498702,0.9303265012423957,0.8735746931717271,1.27549,0.87324,1.31539,2026-03-29T02:41:06.346376
68,0.9366229053950702,0.6551447781614328,0.9266473729783558,0.8764614798474379,1.27966,0.87409,1.31473,2026-03-29T02:56:00.003717
69,0.9371242467744573,0.6559842985255184,0.9297825692759396,0.8752756685656197,1.27382,0.86416,1.31171,2026-03-29T03:10:53.568365
70,0.9376487668599596,0.6566941894682984,0.9311012522886892,0.872750145793032,1.2777,0.871,1.31152,2026-03-29T03:25:46.820073
71,0.9382088852313457,0.6572518535019501,0.9300125177742682,0.8756089690514954,1.26619,0.86057,1.30695,2026-03-29T03:40:42.362964
72,0.9382887812861866,0.6571997725079595,0.929839114001798,0.8768760955166467,1.26324,0.8544,1.30164,2026-03-29T03:55:34.867795
73,0.9385704395897486,0.6587480690884628,0.9303082892433053,0.8769350286355069,1.25941,0.84678,1.30085,2026-03-29T04:10:29.228788
74,0.9388496023849043,0.6585369829660351,0.9308846103435287,0.8772778599660963,1.25805,0.84383,1.29729,2026-03-29T04:25:22.896798
75,0.9389167593271696,0.6588758822202184,0.9318003814373353,0.8772253191310403,1.24831,0.83895,1.29105,2026-03-29T04:40:17.067379
76,0.9392293821586799,0.658754469522069,0.9328538125924706,0.8767440979244764,1.24786,0.83216,1.28812,2026-03-29T04:55:13.740284
77,0.9395819838775112,0.6593422800925416,0.9338043952145781,0.8775881293572845,1.24229,0.83013,1.28885,2026-03-29T05:10:17.862937
78,0.9394784979059594,0.6602003594907785,0.933657534173952,0.8773116357726709,1.25278,0.82472,1.29018,2026-03-29T05:25:11.889041
79,0.9397064261797464,0.6600940801982398,0.9346029502752267,0.8764837630198847,1.23909,0.82333,1.28727,2026-03-29T05:40:04.919361
80,0.9397104479329451,0.6605469071219291,0.9365956582959443,0.8745826423787977,1.23703,0.81531,1.28099,2026-03-29T05:54:57.234976
81,0.9399861000802957,0.6607170641597928,0.9363973238786281,0.8763892835751029,1.22931,0.8176,1.28459,2026-03-29T06:09:51.650002
82,0.94015995811174,0.6611542829039407,0.9367851640534604,0.8755531504398277,1.23306,0.80503,1.27423,2026-03-29T06:24:45.864236
83,0.9404113437222106,0.661789521541708,0.9371116117065593,0.8755906873309781,1.22686,0.80632,1.27632,2026-03-29T06:39:39.819458
84,0.9404363043783729,0.662120068161263,0.9375606367327396,0.8747505492014158,1.22205,0.80955,1.27714,2026-03-29T06:54:33.561214
85,0.9405620479838838,0.6626603804194968,0.937273339907206,0.8751556903595032,1.22328,0.80195,1.27324,2026-03-29T07:10:15.887831
86,0.9406021112593919,0.663180907580601,0.9306339355662676,0.8802807892026484,1.21537,0.79001,1.26682,2026-03-29T07:25:09.864032
87,0.9406184333085468,0.6630920392439041,0.9330134620912309,0.8793622830538498,1.21724,0.79105,1.26618,2026-03-29T07:40:03.135490
88,0.9409400984897868,0.6637965469876407,0.9334543378919818,0.8796295899041651,1.20824,0.78509,1.26107,2026-03-29T07:54:56.819418
89,0.9416547431167335,0.6635972838233483,0.9336714867511275,0.8793451628315644,1.20604,0.77979,1.25617,2026-03-29T08:09:51.134922
90,0.9416242237651586,0.6643359469043858,0.9329070900632892,0.8804934765143215,1.21004,0.78072,1.25886,2026-03-29T08:24:44.493598
91,0.9420712915763744,0.6647815981833243,0.9329261982155386,0.8817769770296797,1.20388,0.77103,1.25775,2026-03-29T08:39:34.084710
92,0.9421687562256704,0.6650983820306865,0.9316317393757995,0.883503496703273,1.06568,0.5672,1.19779,2026-03-29T08:54:05.586566
93,0.9421894203398236,0.665236177529392,0.9313095876703503,0.8848062425609788,1.05493,0.55918,1.19055,2026-03-29T09:08:37.402877
94,0.9420964902522796,0.665822849460081,0.9326860414576785,0.8825799527357466,1.04633,0.5518,1.18351,2026-03-29T09:23:09.633038
95,0.9420252489518244,0.6657215313598097,0.9336475424329681,0.8820537927486486,1.03984,0.54374,1.1766,2026-03-29T09:37:42.081510
96,0.941645177823507,0.6659787994949308,0.9350716457176601,0.8790051711258975,1.03583,0.53526,1.17227,2026-03-29T09:52:14.509765
97,0.9414545070886888,0.6664398594246507,0.9361097450645521,0.8783997307904399,1.0288,0.53337,1.17138,2026-03-29T10:06:46.652520
98,0.9414369124028363,0.6665850061286701,0.9291646586007172,0.8848437547482872,1.02205,0.52767,1.16704,2026-03-29T10:21:18.611672
99,0.941329109371187,0.6668244860227979,0.9283091765287497,0.8852122889757996,1.01746,0.52391,1.16476,2026-03-29T10:35:50.725410
100,0.941100403065972,0.6661884522060335,0.9347424327953459,0.8812812201570968,1.01257,0.51997,1.15804,2026-03-29T10:50:22.513195
101,0.9414004581273654,0.6662460903930643,0.9288009533465594,0.8849480831066832,1.00924,0.51569,1.15684,2026-03-29T10:50:42.714554
